AED,UAE Dirham,Dirham des ÉAUnis,Dirham de los EÁU,VAE-Dirham,Dirham dos Emirados UAE,ディルハム,阿拉伯聯合酋長國迪爾汗,아랍에미리트 디르함,VAE-Dirham,Dirham degli Emirati Arabi Uniti
AFN,Afghani,Afghani,Afgani Afgano,Afghani,Afegane,アフガニ,阿富汗阿富汗尼,아프가니스탄 아프가니,Afghani,Afghani afgano
ALL,Lek,Lek,Lek Albano,Lek,Lek,レク,阿爾巴尼亞列克,알바니아 렉,Albanese lek,Lek albanese
AMD,Armenian Dram,Dram Arménien,Dram Armenio,Dram,Dram,ドラム,亞美尼亞德拉姆,아르메니아 드람,Armeense dram,Dram armeno
ANG,Netherlands Antillian Guilder,Florin des Antilles,Florín de las Antillas Holandesas,Antillen-Gulden,Florim,アンティル・ギルダー,荷屬安的列斯盾,네덜란드령 안틸레스 휠던,Antilliaanse gulden,Fiorino delle Antille olandesi
AOA,Kwanza,Kwanza,Kwanza Angoleño,Kwanza,Kwanza,クワンザ,安哥拉寬扎,앙골라 콴자,Angolese kwanza,Kwanza angolano
ARS,Argentine Peso,Peso Argentin,Peso Argentino,Argentinischer Peso,Peso Argentino,アルゼンチン・ペソ,阿根廷比索,아르헨티나 페소,Argentijnse peso,Peso argentino
ATS,Austrian schilling,Schilling Autrichien,Chelín Austriaco,Schilling,Xelim austríaco,オーストリア・シリング,奧地利先令,오스트리아 실링,Oostenrijkse schilling,Scellino austriaco
AUD,Australian Dollar,Dollar Australien,Dólar Australiano,Australischer Dollar,Dólar australiano,オーストラリア・ドル,澳大利亞元,오스트레일리아 달러,Australische dollar,Dollaro australiano
AWG,Aruban Guilder,Florin d'Aruba,Florín Arubeño,Aruba-Gulden,Florim de Aruba,アルバ・フローリン,阿魯巴弗羅林,아루바 플로린,Arubaanse gulden,Fiorino arubano
AZN,Azerbaijanian Manat,Manat,Manat Azerbaiyano,Aserbaidschan-Manat,Manat do Azerbaijão,アゼルバイジャン・マナト,阿塞拜疆馬納特,아제르바이잔 마나트,Azerbeidzjaanse manat,Manat azero
BAM,Convertible Marks,Mark Convertible,Marco Convertible,Konvertierbarer Mark,Marco convertível,兌換マルク,波斯尼亞和黑塞哥維那可兌換馬克,보스니아 헤르체고비나 태환 마르크,Bosnische mark,Marco bosniaco
BBD,Barbados Dollar,Dollar de Barbade,Dólar de Barbados,Barbados-Dollar,Dólar de Barbados,バルバドス・ドル,巴巴多斯元,바베이도스 달러,Barbadiaanse dollar,Dollaro di Barbados
BDT,Taka,Taka,Taka de Bangladesh,Taka,Taka,タカ,孟加拉塔卡,방글라데시 타카,Bengalese taka,Taka bengalese
BEF,Belgian franc,Franc Belge,Franco Belga,Belgischer Franc,Franco belga,ベルギー・フラン,比利時法郎,벨기에 프랑,Belgische frank,Franco belga
BGN,Bulgarian Lev,Lev de Bulgarie,Lev Búlgaro,Lew,Lev,レフ,保加利亞列弗,불가리아 레프,Nieuwe Bulgaarse lev,Nuovo lev bulgaro
BHD,Bahraini Dinar,Dinar de Bahreïn,Dinar Bahreiní,Bahrain-Dinar,Dinar do Bahrein,レフ,巴林第納爾,바레인 디나르,Bahreinse dinar,Dinaro del Bahrain
BIF,Burundi Franc,Franc du Burundi,Franco Burundés,Burundi-Franc,Franco do Burundi,ブルンジ・フラン,布隆迪法郎,부룬디 프랑,Burundese frank,Franco del Burundi
BMD,Bermudian Dollar,Dollar des Bermudes,Dólar de Bermuda,Bermuda- Dollar,Dólar de Bermuda,バミューダ・ドル,百慕大元,버뮤다 달러,Bermuda-dollar,Dollaro della Bermuda
BND,Brunei Dollar,Dollar de Brunei,Dólar de Brunei,Brunei-Dollar,Dólar do Brunei,ブルネイ・ドル,文萊元,브루나이 링깃,Bruneise dollar,Dollaro del Brunei
BOB,Boliviano,Boliviano,Boliviano,Boliviano,Boliviano,ボリビアーノ,玻利維亞玻利維亞諾,볼리비아 볼리비아노,Boliviaanse boliviano,Boliviano boliviano
BOV,Mvdol,Mvdol,Mvdol Boliviano,Mvdol,Boliviano Mvdol,Mvdol,玻利維亞 mvdol,볼리비아 볼리비아노 mvdol,Boliviaanse Mvdol,Mvdol Boliviano
BRL,Brazilian Real,Real de Brésil,Real Brasileño,Real,Real,レアル,巴西雷亞爾,브라질 헤알,Braziliaanse real,Real brasiliano
BSD,Bahamian Dollar,Dollar des Bahamas,Dólar Bahameño,Bahama-Dollar,Dólar das Bahamas,バハマ・ドル,巴哈馬元,바하마 달러,Bahamaanse dollar,Dollaro delle Bahamas
BTN,Ngultrum,Ngultrum,Ngultrum de Bután,Ngultrum,Ngultrum,ニュルタム,不丹努扎姆,부탄 눌트럼,Bhutaanse ngultrum,Ngultrum del Bhutan
BWP,Pula,Pula,Pula de Botswana,Pula,Pula,プラ,博茨瓦納普拉,보츠와나 풀라,Botswaanse pula,Pula del Botswana
BYR,Belarussian Ruble,Rouble Bélorusse,Rublo Bielorruso,Belarus-Rubel,Rublo bielorrusso,ベラルーシ・ルーブル,白俄羅斯盧布,벨라루스 루블,Wit-Russische roebel,Rublo bielorusso
BZD,Belize Dollar,Dollar de Belize,Dólar de Belice,Belize-Dollar,Dólar do Belize,ベリーズ・ドル,伯利茲元,벨리즈 달러,Belizaanse dollar,Dollaro del Belize
CAD,Canadian Dollar,Dollar Canadien,Dólar Canadiense,kanadischer Dollar,Dólar canadense,カナダ・ドル,加拿大元,캐나다 달러,Canadese dollar,Dollaro canadese
CDF,Congolese Franc,Franc Congolais,Franco Congoleño,Kongo-Franc,Franco congolês,コンゴ・フラン,剛果民主共和國剛果法郎,콩고 프랑,Congolese frank,Franco congolese
CHE,WIR Euro,WIR Euro,WIR Euro,WIR Euro,WIR euro,WIR Euro,WIR Euro,WIR Euro,WIR Euro,WIR Euro
CHF,Swiss Franc,Franc Suisse,Franco Suizo,Schweizer Franken,Franco suíço,スイス・フラン,瑞士法郎,스위스 프랑,Zwitserse frank,Franco svizzero
CHW,WIR Franc,WIR Franc,WIR Franc,WIR Franc,WIR franc,WIR Franc,WIR Franc,WIR Franc,WIR Franc,WIR Franco
CLF,Unidades de fomento,Unité d'investissement,Unidades de Fomento Chilenas,Unidades de fomento,Unidade de Fomento,Unidades de fomento,智利比索,칠레 Unidad de Fomento ,Chileense Unidades de fomento,Unidades de fomento Cilena
CLP,Chilean Peso,Peso Chilien,Peso chileno,Chilenischer Peso,Peso chileno,チリ・ペソ,智利比索,칠레 페소,Chileense peso,Peso cileno
CNY,Yuan Renminbi,Yuan Ren-Min-Bi,Yuan Renminbi de China,Renminbi Yuan,Renminbi,人民元,中國人民幣元,런민비 (위안),Chinese yuan,Renminbi cinese (Yuan)
COP,Colombian Peso,Peso Colombien,Peso colombiano,Kolumbianischer Peso,Peso colombiano,コロンビア・ペソ,哥倫比亞比索,콜롬비아 페소,Colombiaanse peso,Peso colombiano
COU,Unidad de Valor Real,Unidad de Valor Real,Unidad de valor Colombiana,Unidad de Valor real,Unidade de Valor Real,Unidad de Valor Real,哥倫比亞unidad de valor real,Unidad de Valor Real,Colombiaanse unidad de valor real,Unidad de Valor Real
