"AED,UAE Dirham,Dirham des ÉAUnis,Dirham de los EÁU,VAE-Dirham,Dirham dos Emirados UAE?????"
"AFN,Afghani,Afghani,Afgani Afgano,Afghani,Afegane,????"
"ALL,Lek,Lek,Lek Albano,Lek,Lek,??"
"AMD,Armenian Dram,Dram Arménien,Dram Armenio,Dram,Dram,???"
"ANG,Netherlands Antillian Guilder,Florin des Antilles,Florín de las Antillas Holandesas,Antillen-Gulden,Florim,??????????"
"AOA,Kwanza,Kwanza,Kwanza Angoleño,Kwanza,Kwanza,????"
"ARS,Argentine Peso,Peso Argentin,Peso Argentino,Argentinischer Peso,Peso Argentino,?????????"
"ATS,Austrian schilling,Schilling Autrichien,Chelín Austriaco,Schilling,Xelim austríaco,???????????"
"AUD,Australian Dollar,Dollar Australien,Dólar Australiano,Australischer Dollar,Dólar australiano,??????????"
"AWG,Aruban Guilder,Florin d'Aruba,Florín Arubeño,Aruba-Gulden,Florim de Aruba,?????????"
"AZN,Azerbaijanian Manat,Manat,Manat Azerbaiyano,Aserbaidschan-Manat,Manat do Azerbaijão,????????????"
"BAM,Convertible Marks,Mark Convertible,Marco Convertible,Konvertierbarer Mark,Marco convertível,?????"
"BBD,Barbados Dollar,Dollar de Barbade,Dólar de Barbados,Barbados-Dollar,Dólar de Barbados,????????"
"BDT,Taka,Taka,Taka de Bangladesh,Taka,Taka,??"
"BEF,Belgian franc,Franc Belge,Franco Belga,Belgischer Franc,Franco belga,????????"
"BGN,Bulgarian Lev,Lev de Bulgarie,Lev Búlgaro,Lew,Lev,??"
"BHD,Bahraini Dinar,Dinar de Bahreïn,Dinar Bahreiní,Bahrain-Dinar,Dinar do Bahrein,??"
"BIF,Burundi Franc,Franc du Burundi,Franco Burundés,Burundi-Franc,Franco do Burundi,????????"
"BMD,Bermudian Dollar,Dollar des Bermudes,Dólar de Bermuda,Bermuda- Dollar,Dólar de Bermuda,????????"
"BND,Brunei Dollar,Dollar de Brunei,Dólar de Brunei,Brunei-Dollar,Dólar do Brunei,???????"
"BOB,Boliviano,Boliviano,Boliviano,Boliviano,Boliviano,??????"
"BOV,Mvdol,Mvdol,Mvdol Boliviano,Mvdol,Boliviano Mvdol,Mvdol"
"BRL,Brazilian Real,Real de Brésil,Real Brasileño,Real,Real,???"
"BSD,Bahamian Dollar,Dollar des Bahamas,Dólar Bahameño,Bahama-Dollar,Dólar das Bahamas,??????"
"BTN,Ngultrum,Ngultrum,Ngultrum de Bután,Ngultrum,Ngultrum,?????"
"BWP,Pula,Pula,Pula de Botswana,Pula,Pula,??"
"BYR,Belarussian Ruble,Rouble Bélorusse,Rublo Bielorruso,Belarus-Rubel,Rublo bielorrusso,??????????"
"BZD,Belize Dollar,Dollar de Belize,Dólar de Belice,Belize-Dollar,Dólar do Belize,???????"
"CAD,Canadian Dollar,Dollar Canadien,Dólar Canadiense,kanadischer Dollar,Dólar canadense,??????"
"CDF,Congolese Franc,Franc Congolais,Franco Congoleño,Kongo-Franc,Franco congolês,???????"
"CHE,WIR Euro,WIR Euro,WIR Euro,WIR Euro,WIR euro,WIR Euro"
"CHF,Swiss Franc,Franc Suisse,Franco Suizo,Schweizer Franken,Franco suíço,???????"
"CHW,WIR Franc,WIR Franc,WIR Franc,WIR Franc,WIR franc,WIR Franc"
