AED,UAE Dirham,Dirham des êAUnis,Dirham de los EµU,VAE-Dirham,Dirham dos Emirados
AFN,Afghani,Afghani,Afgani Afgano,Afghani,Afegane
ALL,Lek,Lek,Lek Albano,Lek,Lek
AMD,Armenian Dram,Dram ArmÇnien,Dram Armenio,Dram,Dram
ANG,Netherlands Antillian Guilder,Florin des Antilles,Flor°n de las Antillas Holandesas,Antillen-Gulden,Florim
AOA,Kwanza,Kwanza,Kwanza Angole§o,Kwanza,Kwanza
ARS,Argentine Peso,Peso Argentin,Peso Argentino,Argentinischer Peso,Peso Argentino
ATS,Austrian schilling,Schilling Autrichien,Chel°n Austriaco,Schilling,Xelim austr°aco
AUD,Australian Dollar,Dollar Australien,D¢lar Australiano,Australischer Dollar,D¢lar australiano
AWG,Aruban Guilder,Florin d'Aruba,Flor°n Arube§o,Aruba-Gulden,Florim de Aruba
AZN,Azerbaijanian Manat,Manat,Manat Azerbaiyano,Aserbaidschan-Manat,Manat do Azerbaij∆o
BAM,Convertible Marks,Mark Convertible,Marco Convertible,Konvertierbarer Mark,Marco convert°vel
BBD,Barbados Dollar,Dollar de Barbade,D¢lar de Barbados,Barbados-Dollar,D¢lar de Barbados
BDT,Taka,Taka,Taka de Bangladesh,Taka,Taka
BEF,Belgian franc,Franc Belge,Franco Belga,Belgischer Franc,Franco belga
BGN,Bulgarian Lev,Lev de Bulgarie,Lev B£lgaro,Lew,Lev
BHD,Bahraini Dinar,Dinar de Bahreãn,Dinar Bahrein°,Bahrain-Dinar,Dinar do Bahrein
BIF,Burundi Franc,Franc du Burundi,Franco BurundÇs,Burundi-Franc,Franco do Burundi
BMD,Bermudian Dollar,Dollar des Bermudes,D¢lar de Bermuda,Bermuda- Dollar,D¢lar de Bermuda
BND,Brunei Dollar,Dollar de Brunei,D¢lar de Brunei,Brunei-Dollar,D¢lar do Brunei
BOB,Boliviano,Boliviano,Boliviano,Boliviano,Boliviano
BOV,Mvdol,Mvdol,Mvdol Boliviano,Mvdol,Boliviano Mvdol
BRL,Brazilian Real,Real de BrÇsil,Real Brasile§o,Real,Real
BSD,Bahamian Dollar,Dollar des Bahamas,D¢lar Bahame§o,Bahama-Dollar,D¢lar das Bahamas
BTN,Ngultrum,Ngultrum,Ngultrum de But†n,Ngultrum,Ngultrum
BWP,Pula,Pula,Pula de Botswana,Pula,Pula
BYR,Belarussian Ruble,Rouble BÇlorusse,Rublo Bielorruso,Belarus-Rubel,Rublo bielorrusso
BZD,Belize Dollar,Dollar de Belize,D¢lar de Belice,Belize-Dollar,D¢lar do Belize
CAD,Canadian Dollar,Dollar Canadien,D¢lar Canadiense,kanadischer Dollar,D¢lar canadense
CDF,Congolese Franc,Franc Congolais,Franco Congole§o,Kongo-Franc,Franco congolàs
CHE,WIR Euro,WIR Euro,WIR Euro,WIR Euro,WIR euro
CHF,Swiss Franc,Franc Suisse,Franco Suizo,Schweizer Franken,Franco su°áo
CHW,WIR Franc,WIR Franc,WIR Franc,WIRˇFranc,WIR franc
CLF,Unidades de fomento,UnitÇ d'investissement,Unidades de Fomento Chilenas,Unidades de fomento,Unidade de Fomento
CLP,Chilean Peso,Peso Chilien,Peso chileno,Chilenischer Peso,Peso chileno
